DATA,DESCRIÇÃO,DOCUMENTO,CRÉDITO,DÉBITO,SALDO,Categoria_Prevista,Categoria_Prevista_Nome
31-jan.,pg pinternet vr beneficios e serv de proc,10.002.809,,"-R$  1.050,00 "," R$  432,45 ",2,Despesas Diversas
1-fev.,credito ted pagseguro internet ltda,34.148.926," R$  93,06 ",," R$  525,51 ",9,Seguros
3-fev.,pg pinternet guia de recolhimento,10.003.774,,"-R$  85,37 "," R$  440,14 ",2,Despesas Diversas
3-fev.,pg pinternet guia de recolhimento,10.003.799,,"-R$  32,25 "," R$  407,89 ",2,Despesas Diversas
3-fev.,pg pinternet guia de recolhimento,10.003.902,,"-R$  75,29 "," R$  332,60 ",2,Despesas Diversas
3-fev.,pg pinternet guia de recolhimento,10.003.941,,"-R$  71,89 "," R$  260,71 ",2,Despesas Diversas
3-fev.,credito ted pagseguro internet ltda,34.140.130," R$  197,00 ",," R$  457,71 ",9,Seguros
6-fev.,credito ted pagseguro internet ltda,34.588.410," R$  135,24 ",," R$  592,95 ",9,Seguros
10-fev.,prest emprest,6,,"-R$  592,95 ",,4,Empréstimos
10-fev.,credito ted pagseguro internet ltda,34.047.929," R$  144,90 ",," R$  144,90 ",9,Seguros
10-fev.,prest emprest,11,,"-R$  144,90 ",,4,Empréstimos
10-fev.,credito ted pagseguro internet ltda,34.075.770," R$  1.068,79 ",," R$  1.068,79 ",9,Seguros
10-fev.,prest emprest,13,,"-R$  680,62 "," R$  388,17 ",4,Empréstimos
10-fev.,db allianz seguro spin de,84624000166,,"-R$  184,78 "," R$  203,39 ",9,Seguros
13-fev.,credito ted pagseguro internet ltda,33.037.324," R$  858,36 ",," R$  1.061,75 ",9,Seguros
15-fev.,db cotas,19.911,,"-R$  66,48 "," R$  995,27 ",2,Despesas Diversas
15-fev.,credito ted pagseguro internet ltda,34.385.159," R$  488,58 ",," R$  1.483,85 ",9,Seguros
16-fev.,pg pinternet refrigeracao dufrio comercio e,10.003.116,,"-R$  428,93 "," R$  1.054,92 ",2,Despesas Diversas
16-fev.,pg pinternet energia lj,10.003.130,,"-R$  88,16 "," R$  966,76 ",1,Contas de Consumo
16-fev.,pg pinternet energia lj,10.003.139,,"-R$  278,38 "," R$  688,38 ",1,Contas de Consumo
16-fev.,pg pinternet energia lj,10.003.135,,"-R$  21,85 "," R$  666,53 ",1,Contas de Consumo
17-fev.,pg pinternet darf referente aluguel,10.005.384,,"-R$  84,58 "," R$  581,95 ",0,Aluguel
17-fev.,pg pinternet vr beneficios e serv de proc,10.005.441,,"-R$  300,00 "," R$  281,95 ",2,Despesas Diversas
23-fev.,credito ted pagseguro internet ltda,34.015.265," R$  1.018,13 ",," R$  1.300,08 ",9,Seguros
23-fev.,pg pinternet springer carrier,10.003.155,,"-R$  22,82 "," R$  1.277,26 ",5,Equipamentos
23-fev.,pg pinternet springer carrier,10.003.180,,"-R$  556,85 "," R$  720,41 ",5,Equipamentos
23-fev.,pg pinternet springer carrier,10.003.283,,"-R$  58,66 "," R$  661,75 ",5,Equipamentos
27-fev.,credito ted pagseguro internet ltda,34.259.265," R$  3.940,00 ",," R$  4.601,75 ",9,Seguros
27-fev.,pg pinternet vt estagiario mateus,10.004.798,,"-R$  255,94 "," R$  4.345,81 ",11,Transporte
27-fev.,pg pinternet ligga telecon,10.004.836,,"-R$  149,90 "," R$  4.195,91 ",2,Despesas Diversas
27-fev.,pg pinternet net fone,10.004.852,,"-R$  123,60 "," R$  4.072,31 ",1,Contas de Consumo
27-fev.,pg pinternet celular,10.004.904,,"-R$  57,61 "," R$  4.014,70 ",1,Contas de Consumo
27-fev.,pg pinternet med curitiba,10.004.928,,"-R$  517,00 "," R$  3.497,70 ",8,Saúde
27-fev.,pg pinternet taxa de corpo de bombeiros,10.004.945,,"-R$  113,19 "," R$  3.384,51 ",6,Impostos e Taxas
27-fev.,debito pix vt matheus laurentino da rosa,207.234.063,,"-R$  253,00 "," R$  3.131,51 ",2,Despesas Diversas
27-fev.,pix transf pagador,207.234.063,,"-R$  0,76 "," R$  3.130,75 ",2,Despesas Diversas
28-fev.,pg pinternet vr beneficios e serv de proc,10.002.476,,"-R$  1.410,00 "," R$  1.720,75 ",2,Despesas Diversas
3-mar.,pg pinternet refrigeracao dufrio comercio e,10.002.462,,"-R$  307,72 "," R$  1.413,03 ",2,Despesas Diversas
3-mar.,pg pinternet conta de agua,10.002.572,,"-R$  166,15 "," R$  1.246,88 ",2,Despesas Diversas
3-mar.,pg pinternet guia de recolhimento,10.002.641,,"-R$  215,15 "," R$  1.031,73 ",2,Despesas Diversas
7-mar.,pg pinternet fgts,10.003.451,,"-R$  1.010,28 "," R$  21,45 ",6,Impostos e Taxas
8-mar.,credito ted pagseguro internet ltda,33.894.288," R$  945,92 ",," R$  967,37 ",9,Seguros
8-mar.,cr apl rdcpos resgate de aplicaes,89," R$  6.000,00 ",," R$  6.967,37 ",2,Despesas Diversas
8-mar.,pg pinternet aluguel,10.003.671,,"-R$  4.078,93 "," R$  2.888,44 ",0,Aluguel
8-mar.,pg pinternet pagto estagiarios,10.003.694,,"-R$  1.500,57 "," R$  1.387,87 ",2,Despesas Diversas
9-mar.,credito pix eceeltec eletroeletronica informat,212.280.440," R$  300,00 ",," R$  1.687,87 ",7,Pagamentos e Créditos
10-mar.,prest emprest,7,,"-R$  1.418,47 "," R$  269,40 ",4,Empréstimos
10-mar.,db allianz seguro spin de,84624000166,,"-R$  184,78 "," R$  84,62 ",9,Seguros
14-mar.,credito ted pagseguro internet ltda,34.018.420," R$  177,30 ",," R$  261,92 ",9,Seguros
15-mar.,db cotas,19.911,,"-R$  66,48 "," R$  195,44 ",2,Despesas Diversas
15-mar.,credito ted pagseguro internet ltda,34.158.915," R$  2.427,58 ",," R$  2.623,02 ",9,Seguros
20-mar.,credito ted pagseguro internet ltda,34.062.891," R$  3.135,42 ",," R$  5.758,44 ",9,Seguros
20-mar.,pg pinternet das,10.006.084,,"-R$  2.072,11 "," R$  3.686,33 ",2,Despesas Diversas
20-mar.,pg pinternet darf,10.006.146,,"-R$  1.352,03 "," R$  2.334,30 ",6,Impostos e Taxas
20-mar.,pg pinternet darf ref aluguel,10.006.183,,"-R$  84,58 "," R$  2.249,72 ",0,Aluguel
22-mar.,credito ted pagseguro internet ltda,33.021.544,"1.748,57",,"3.998,29",9,Seguros
27-mar.,pg pinternet net fone,10.002.535,,"-R$  123,60 "," R$  3.874,69 ",1,Contas de Consumo
27-mar.,pg pinternet celular,10.002.566,,"-R$  57,61 "," R$  3.817,08 ",1,Contas de Consumo
27-mar.,pg pinternet ligga telecon,10.002.606,,"-R$  149,90 "," R$  3.667,18 ",2,Despesas Diversas
27-mar.,pg pinternet springer carrier,10.002.623,,"-R$  22,81 "," R$  3.644,37 ",5,Equipamentos
27-mar.,pg pinternet springer carrier,10.002.651,,"-R$  556,85 "," R$  3.087,52 ",5,Equipamentos
27-mar.,pg pinternet med curitiba,10.002.666,,"-R$  205,45 "," R$  2.882,07 ",8,Saúde
27-mar.,pg pinternet embalatec ind embalagens ltda,10.002.701,,"-R$  1.345,97 "," R$  1.536,10 ",5,Equipamentos
27-mar.,pg pinternet master filme c embalagens ltda,10.002.726,,"-R$  850,10 "," R$  686,00 ",5,Equipamentos
29-mar.,credito ted pagseguro internet ltda,33.811.964," R$  88,65 ",," R$  774,65 ",9,Seguros
29-mar.,pg pinternet springer carrier,10.002.221,,"-R$  654,26 "," R$  120,39 ",5,Equipamentos
30-mar.,credito ted pagseguro internet ltda,33.946.036," R$  860,71 ",," R$  981,10 ",9,Seguros
30-mar.,pg pinternet vr beneficios e serv de proc,10.003.534,,"-R$  900,00 "," R$  81,10 ",2,Despesas Diversas
31-mar.,credito ted pagseguro internet ltda,34.129.883," R$  623,65 ",," R$  704,75 ",9,Seguros
31-mar.,pg pinternet springer carrier,10.004.680,,"-R$  452,13 "," R$  252,62 ",5,Equipamentos
4-abr.,credito ted pagseguro internet ltda,33.899.696," R$  1.583,66 ",," R$  1.836,28 ",9,Seguros
5-abr.,credito ted pagseguro internet ltda,34.180.730," R$  115,92 ",," R$  1.952,20 ",9,Seguros
5-abr.,pg pinternet conta de agua,10.005.926,,"-R$  170,01 "," R$  1.782,19 ",2,Despesas Diversas
5-abr.,pg pinternet white martins,10.006.114,,"-R$  39,76 "," R$  1.742,43 ",2,Despesas Diversas
6-abr.,credito ted pagseguro internet ltda,34.144.905," R$  1.254,02 ",," R$  2.996,45 ",9,Seguros
6-abr.,pg pinternet ciee pr,10.006.870,,"-R$  2.380,95 "," R$  615,50 ",3,Educação
10-abr.,db allianz seguro spin de,84624000166,,"-R$  184,78 "," R$  430,72 ",9,Seguros
13-abr.,credito ted pagseguro internet ltda,33.020.007," R$  1.621,16 ",," R$  2.051,88 ",9,Seguros
14-abr.,credito ted pagseguro internet ltda,33.929.539," R$  761,35 ",," R$  2.813,23 ",9,Seguros
17-abr.,db cotas,19.911,,"-R$  66,48 "," R$  2.746,75 ",2,Despesas Diversas
17-abr.,credito ted pagseguro internet ltda,34.345.619," R$  343,65 ",," R$  3.090,40 ",9,Seguros
18-abr.,db allianz seguro moto de,84624000166,,"-R$  146,46 "," R$  2.943,94 ",9,Seguros
20-abr.,credito ted pagseguro internet ltda,34.175.294," R$  1.180,37 ",," R$  4.124,31 ",9,Seguros
25-abr.,credito ted pagseguro internet ltda,33.949.804," R$  2.318,53 ",," R$  6.442,84 ",9,Seguros
4-mai.,credito ted pagseguro internet ltda,33.877.425," R$  108,35 ",," R$  6.551,19 ",9,Seguros
4-mai.,pg pinternet conta de agua,10.003.686,,"-R$  246,82 "," R$  6.304,37 ",2,Despesas Diversas
4-mai.,pg pinternet white martins,10.003.706,,"-R$  150,34 "," R$  6.154,03 ",2,Despesas Diversas
4-mai.,pg pinternet springer carrier,10.003.719,,"-R$  452,12 "," R$  5.701,91 ",5,Equipamentos
4-mai.,pg pinternet springer carrier,10.003.738,,"-R$  673,13 "," R$  5.028,78 ",5,Equipamentos
8-mai.,credito ted pagseguro internet ltda,34.055.858,"1.058,52",," R$  6.087,30 ",9,Seguros
10-mai.,db allianz seguro spin de,84624000166,,"-184,89"," R$  5.902,41 ",9,Seguros
11-mai.,credito ted pagseguro internet ltda,33.876.217," R$  1.727,33 ",," R$  7.629,74 ",9,Seguros
12-mai.,credito ted pagseguro internet ltda,33.830.885," R$  1.376,55 ",," R$  9.006,29 ",9,Seguros
12-mai.,pg pinternet energia lj,10.003.146,,"-R$  159,77 "," R$  8.846,52 ",1,Contas de Consumo
12-mai.,pg pinternet energia lj,10.003.188,,"-R$  389,87 "," R$  8.456,65 ",1,Contas de Consumo
12-mai.,pg pinternet energia lj,10.003.169,,"-R$  48,71 "," R$  8.407,94 ",1,Contas de Consumo
15-mai.,db cotas,19.911,,"-R$  66,48 "," R$  8.341,46 ",2,Despesas Diversas
16-mai.,credito ted pagseguro internet ltda,35.181.214," R$  1.293,24 ",," R$  9.634,70 ",9,Seguros
19-mai.,credito ted pagseguro internet ltda,33.577.502," R$  2.145,57 ",," R$  11.780,27 ",9,Seguros
19-mai.,pg pinternet das,10.003.080,,"-R$  2.569,17 "," R$  9.211,10 ",2,Despesas Diversas
22-mai.,db allianz seguro moto de,84624000166,,"-R$  146,46 "," R$  9.064,64 ",9,Seguros
23-mai.,pg pinternet med curitiba,10.001.808,,"-R$  134,54 "," R$  8.930,10 ",8,Saúde
23-mai.,pg pinternet net fone,10.001.814,,"-R$  123,60 "," R$  8.806,50 ",1,Contas de Consumo
23-mai.,pg pinternet celular,10.001.819,,"-R$  57,61 "," R$  8.748,89 ",1,Contas de Consumo
23-mai.,pg pinternet ligga telecon,10.001.823,,"-R$  149,90 "," R$  8.598,99 ",2,Despesas Diversas
23-mai.,credito ted pagseguro internet ltda,33.862.781," R$  557,73 ",," R$  9.156,72 ",9,Seguros
26-mai.,credito ted pagseguro internet ltda,33.478.362," R$  1.605,87 ",," R$  10.762,59 ",9,Seguros
26-mai.,pg pinternet springer carrier,10.001.448,,"-R$  492,35 "," R$  10.270,24 ",5,Equipamentos
26-mai.,pg pinternet springer carrier,10.001.464,,"-R$  654,26 "," R$  9.615,98 ",5,Equipamentos
26-mai.,pg pinternet master filme c embalagens ltda,10.001.504,,"-R$  850,09 "," R$  8.765,89 ",5,Equipamentos
26-mai.,pg pinternet conselho regional dos tecnicos parc,10.001.526,,"-R$  193,14 "," R$  8.572,75 ",2,Despesas Diversas
2-jun.,credito ted pagseguro internet ltda,34.550.764," R$  3.548,42 ",," R$  12.121,17 ",9,Seguros
5-jun.,credito ted pagseguro internet ltda,34.800.101," R$  615,31 ",," R$  12.736,48 ",9,Seguros
7-jun.,credito ted pagseguro internet ltda,34.406.489," R$  487,83 ",," R$  13.224,31 ",9,Seguros
9-jun.,pg pinternet white martins,10.007.212,,"-R$  39,76 "," R$  13.184,55 ",2,Despesas Diversas
14-jun.,credito ted pagseguro internet ltda,34.209.001," R$  1.020,14 ",," R$  14.204,69 ",9,Seguros
15-jun.,db cotas,19.911,,"-R$  66,48 "," R$  14.138,21 ",2,Despesas Diversas
20-jun.,db allianz seguro moto de,84624000166,,"-R$  146,46 "," R$  13.991,75 ",9,Seguros
21-jun.,credito ted pagseguro internet ltda,34.076.224," R$  991,76 ",," R$  14.983,51 ",9,Seguros
23-jun.,credito ted pagseguro internet ltda,33.864.047," R$  1.239,86 ",," R$  16.223,37 ",9,Seguros
29-jun.,credito ted pagseguro internet ltda,33.556.367," R$  518,99 ",," R$  16.742,36 ",9,Seguros
7-jul.,credito ted pagseguro internet ltda,34.018.653," R$  1.102,12 ",," R$  17.844,48 ",9,Seguros
11-jul.,credito ted pagseguro internet ltda,34.113.765," R$  598,92 ",," R$  18.443,40 ",9,Seguros
14-jul.,credito ted pagseguro internet ltda,33.715.582," R$  2.175,49 ",," R$  20.618,89 ",9,Seguros
17-jul.,db cotas,19.911,,"-R$  66,48 "," R$  20.552,41 ",2,Despesas Diversas
20-jul.,db allianz seguro moto de,84624000166,,"-R$  146,46 "," R$  20.405,95 ",9,Seguros
21-jul.,credito ted pagseguro internet ltda,34.216.176," R$  1.620,67 ",," R$  22.026,62 ",9,Seguros
26-jul.,credito ted pagseguro internet ltda,33.010.389," R$  2.883,52 ",," R$  24.910,14 ",9,Seguros
27-jul.,pg pinternet vale transporte cinthya,10.002.109,,"-R$  278,94 "," R$  24.631,20 ",11,Transporte
27-jul.,pg pinternet conselho regional dos tecnicos parcelas,10.002.163,,"-R$  193,14 "," R$  24.438,06 ",4,Empréstimos
28-jul.,credito ted pagseguro internet ltda,34.327.046," R$  1.178,32 ",," R$  25.616,38 ",9,Seguros
31-jul.,pix transf pagador,273.443.599,,"-R$  4,99 "," R$  25.611,39 ",2,Despesas Diversas
31-jul.,debito pix elisabete seolin galindo diviso de lucro,273.443.599,,"-R$  10.000,00 "," R$  15.611,39 ",2,Despesas Diversas
31-jul.,pix transf pagador,273.621.972,,"-R$  4,99 "," R$  15.606,40 ",2,Despesas Diversas
31-jul.,debito pix claudio vinicius galindo diviso de lucro,273.621.972,,"-R$  10.000,00 "," R$  5.606,40 ",2,Despesas Diversas
4-ago.,credito ted pagseguro internet ltda,33.012.105," R$  3.081,69 ",," R$  8.688,09 ",9,Seguros
7-ago.,credito ted pagseguro internet ltda,34.910.121," R$  1.332,24 ",," R$  10.020,33 ",9,Seguros
7-ago.,pg pinternet springer carrier,10.010.303,,"-R$  284,00 "," R$  9.736,33 ",5,Equipamentos
7-ago.,pg pinternet ciee pr,10.010.353,,"-R$  1.230,69 "," R$  8.505,64 ",3,Educação
7-ago.,pg pinternet vt brenda,10.010.386,,"-R$  231,03 "," R$  8.274,61 ",11,Transporte
7-ago.,pg pinternet white martins,10.010.470,,"-R$  39,76 "," R$  8.234,85 ",2,Despesas Diversas
11-ago.,credito ted pagseguro internet ltda,34.241.320," R$  1.008,85 ",," R$  9.243,70 ",9,Seguros
11-ago.,pg pinternet vr beneficios brenda e luiz,10.003.477,,"-R$  474,00 "," R$  8.769,70 ",2,Despesas Diversas
15-ago.,db cotas,19.911,,"-R$  66,48 "," R$  8.703,22 ",2,Despesas Diversas
15-ago.,db allianz seguro spin de,84624000166,,"-R$  184,61 "," R$  8.518,61 ",9,Seguros
15-ago.,pg pinternet pagto cartao american,10.005.184,,"-R$  2.135,39 "," R$  6.383,22 ",2,Despesas Diversas
15-ago.,pg pinternet pagto energia lj,10.005.232,,"-R$  150,85 "," R$  6.232,37 ",1,Contas de Consumo
15-ago.,pg pinternet pagto energia lj,10.005.259,,"-R$  56,59 "," R$  6.175,78 ",1,Contas de Consumo
15-ago.,pg pinternet pagto energia lj,10.005.275,,"-R$  453,45 "," R$  5.722,33 ",1,Contas de Consumo
15-ago.,pg pinternet springer carrier,10.005.329,,"-R$  712,29 "," R$  5.010,04 ",5,Equipamentos
15-ago.,pg pinternet darf gps,10.005.418,,"-R$  1.170,72 "," R$  3.839,32 ",6,Impostos e Taxas
15-ago.,credito ted pagseguro internet ltda,34.818.418," R$  3.244,30 ",," R$  7.083,62 ",9,Seguros
18-ago.,credito ted pagseguro internet ltda,33.978.541," R$  1.206,62 ",," R$  8.290,24 ",9,Seguros
18-ago.,pg pinternet springer carrier,10.004.043,,"-R$  306,28 "," R$  7.983,96 ",5,Equipamentos
18-ago.,pg pinternet wap fresnomaq ind de maq sa,10.004.075,,"-R$  173,18 "," R$  7.810,78 ",2,Despesas Diversas
18-ago.,pg pinternet refrigeracao dufrio comercio e,10.004.101,,"-R$  364,16 "," R$  7.446,62 ",2,Despesas Diversas
21-ago.,db allianz seguro moto de,84624000166,,"-R$  146,46 "," R$  7.300,16 ",9,Seguros
22-ago.,pg pinternet springer carrier,10.001.382,,"-R$  395,11 "," R$  6.905,05 ",5,Equipamentos
22-ago.,pg pinternet celular,10.001.404,,"-R$  64,54 "," R$  6.840,51 ",1,Contas de Consumo
22-ago.,pg pinternet ligga telecom,10.001.414,,"-R$  149,90 "," R$  6.690,61 ",2,Despesas Diversas
22-ago.,pg pinternet net fone,10.001.432,,"-R$  136,00 "," R$  6.554,61 ",1,Contas de Consumo
23-ago.,credito ted pagseguro internet ltda,34.099.600," R$  2.795,62 ",," R$  9.350,23 ",9,Seguros
25-ago.,pg pinternet med curitiba,10.003.559,,"-R$  411,24 "," R$  8.938,99 ",8,Saúde
29-ago.,credito ted pagseguro internet ltda,34.075.376," R$  1.633,88 ",," R$  10.572,87 ",9,Seguros
29-ago.,pg pinternet vt brenda e cinthya,10.002.367,,"-R$  459,03 "," R$  10.113,84 ",11,Transporte
31-ago.,pg pinternet conselho regional dos tecnicos parcelas,10.003.805,,"-R$  193,14 "," R$  9.920,70 ",4,Empréstimos
31-ago.,pg pinternet vr beneficios e serv de proc,10.003.821,,"-R$  1.400,00 "," R$  8.520,70 ",2,Despesas Diversas
4-set.,credito ted pagseguro internet ltda,33.860.586," R$  1.162,67 ",," R$  9.683,37 ",9,Seguros
4-set.,pg pinternet conta de agua,10.003.986,,"-R$  204,88 "," R$  9.478,49 ",2,Despesas Diversas
4-set.,pg pinternet packpar embalagens eireli,10.004.000,,"-R$  395,28 "," R$  9.083,21 ",5,Equipamentos
6-set.,credito ted pagseguro internet ltda,33.894.772," R$  1.492,96 ",," R$  10.576,17 ",9,Seguros
6-set.,pg pinternet aluguel,10.006.897,,"-R$  4.707,97 "," R$  5.868,20 ",0,Aluguel
6-set.,pg pinternet white martins,10.007.053,,"-R$  39,76 "," R$  5.828,44 ",2,Despesas Diversas
11-set.,db allianz seguro spin de,84624000166,,"-R$  184,61 "," R$  5.643,83 ",9,Seguros
14-set.,credito ted pagseguro internet ltda,34.121.209," R$  827,77 ",," R$  6.471,60 ",9,Seguros
14-set.,pg pinternet cartao american,10.003.235,,"-R$  1.901,57 "," R$  4.570,03 ",2,Despesas Diversas
14-set.,pg pinternet energia lj,10.003.261,,"-R$  145,04 "," R$  4.424,99 ",1,Contas de Consumo
14-set.,pg pinternet energia lj,10.003.277,,"-R$  57,88 "," R$  4.367,11 ",1,Contas de Consumo
14-set.,pg pinternet energia lj,10.003.299,,"-R$  384,16 "," R$  3.982,95 ",1,Contas de Consumo
