DATA,DESCRIÇÃO,DOCUMENTO,CRÉDITO,DÉBITO,SALDO,Categoria_Prevista,Categoria_Prevista_Nome
14-set.,pg pinternet springer carrier,10.003.319,,"-R$  712,27 "," R$  3.270,68 ",5,Equipamentos
15-set.,db cotas,19.911,,"-R$  69,50 "," R$  3.201,18 ",2,Despesas Diversas
15-set.,credito ted pagseguro internet ltda,34.336.356," R$  1.215,37 ",," R$  4.416,55 ",9,Seguros
20-set.,credito ted pagseguro internet ltda,33.777.096," R$  860,84 ",," R$  5.277,39 ",9,Seguros
20-set.,pg pinternet springer carrier,10.004.018,,"-R$  306,28 "," R$  4.971,11 ",5,Equipamentos
22-set.,credito ted pagseguro internet ltda,34.230.246," R$  3.464,48 ",," R$  8.435,59 ",9,Seguros
25-set.,pg pinternet net fone,10.003.734,,"-R$  136,00 "," R$  8.299,59 ",1,Contas de Consumo
25-set.,pg pinternet celular,10.003.747,,"-R$  64,54 "," R$  8.235,05 ",1,Contas de Consumo
25-set.,pg pinternet ligga telecom,10.003.751,,"-R$  149,90 "," R$  8.085,15 ",2,Despesas Diversas
25-set.,pg pinternet springer carrier,10.003.795,,"-R$  395,10 "," R$  7.690,05 ",5,Equipamentos
26-set.,credito ted pagseguro internet ltda,34.040.819," R$  593,45 ",," R$  8.283,50 ",9,Seguros
27-set.,credito ted pagseguro internet ltda,33.984.873," R$  260,82 ",," R$  8.544,32 ",9,Seguros
28-set.,credito ted pagseguro internet ltda,34.239.646," R$  1.000,28 ",," R$  9.544,60 ",9,Seguros
2-out.,credito ted pagseguro internet ltda,34.830.699," R$  883,81 ",," R$  10.428,41 ",9,Seguros
4-out.,pg pinternet conta de agua,10.004.811,,"-R$  225,65 "," R$  10.202,76 ",2,Despesas Diversas
4-out.,pg pinternet springer carrier,10.004.824,,"-R$  98,35 "," R$  10.104,41 ",5,Equipamentos
4-out.,pg pinternet fgts,10.004.833,,"-R$  974,51 "," R$  9.129,90 ",6,Impostos e Taxas
5-out.,cr emprestimo,1," R$  80.000,00 ",," R$  89.129,90 ",2,Despesas Diversas
5-out.,cr apl rdcpos resgate de aplicaes,78," R$  2.166,11 ",," R$  91.296,01 ",2,Despesas Diversas
5-out.,cr apl rdcpos resgate de aplicaes,79," R$  3.833,88 ",," R$  95.129,89 ",2,Despesas Diversas
5-out.,pix transf pagador,304.872.748,,"-R$  4,99 "," R$  95.124,90 ",2,Despesas Diversas
5-out.,debito pix antonio odenir ferraz pagto parte ranger,304.872.748,,"-R$  95.000,00 "," R$  124,90 ",2,Despesas Diversas
6-out.,credito ted pagseguro internet ltda,33.002.158," R$  1.272,31 ",," R$  1.397,21 ",9,Seguros
9-out.,credito ted pagseguro internet ltda,34.290.591," R$  685,59 ",," R$  2.082,80 ",9,Seguros
10-out.,db allianz seguro spin de,84624000166,,"-R$  184,61 "," R$  1.898,19 ",9,Seguros
11-out.,credito ted pagseguro internet ltda,34.379.462," R$  1.342,52 ",," R$  3.240,71 ",9,Seguros
16-out.,db cotas,19.911,,"-R$  69,50 "," R$  3.171,21 ",2,Despesas Diversas
16-out.,db allianz seguro ranger de e de,84624000166,,"-R$  219,08 "," R$  2.952,13 ",9,Seguros
19-out.,credito ted pagseguro internet ltda,34.209.432," R$  841,65 ",," R$  3.793,78 ",9,Seguros
20-out.,credito ted pagseguro internet ltda,34.458.461," R$  987,75 ",," R$  4.781,53 ",9,Seguros
24-out.,credito ted pagseguro internet ltda,33.830.056," R$  431,29 ",," R$  5.212,82 ",9,Seguros
24-out.,pg pinternet ligga telecom,10.002.417,,"-R$  149,90 "," R$  5.062,92 ",2,Despesas Diversas
24-out.,pg pinternet net fone,10.002.429,,"-R$  136,00 "," R$  4.926,92 ",1,Contas de Consumo
24-out.,pg pinternet celular,10.002.549,,"-R$  64,54 "," R$  4.862,38 ",1,Contas de Consumo
24-out.,pg pinternet med curitiba,10.002.558,,"-R$  111,45 "," R$  4.750,93 ",8,Saúde
31-out.,credito ted pagseguro internet ltda,34.169.369," R$  392,65 ",," R$  5.143,58 ",9,Seguros
31-out.,pg pinternet vr beneficios e serv de proc,10.003.446,,"-R$  1.600,00 "," R$  3.543,58 ",2,Despesas Diversas
3-nov.,credito ted pagseguro internet ltda,34.538.423," R$  1.173,36 ",," R$  4.716,94 ",9,Seguros
3-nov.,pg pinternet conta de agua,10.004.966,,"-R$  204,88 "," R$  4.512,06 ",2,Despesas Diversas
7-nov.,credito ted pagseguro internet ltda,33.011.666," R$  1.617,22 ",," R$  6.129,28 ",9,Seguros
8-nov.,credito ted pagseguro internet ltda,34.143.501," R$  1.255,30 ",," R$  7.384,58 ",9,Seguros
8-nov.,pg pinternet aluguel,10.003.285,,"-R$  4.707,97 "," R$  2.676,61 ",0,Aluguel
9-nov.,credito ted pagseguro internet ltda,33.944.258," R$  2.178,74 ",," R$  4.855,35 ",9,Seguros
10-nov.,prest emprest,5,,"-R$  2.460,29 "," R$  2.395,06 ",4,Empréstimos
10-nov.,db allianz seguro ranger de de,84624000166,,"-R$  184,61 "," R$  2.210,45 ",9,Seguros
10-nov.,db allianz seguro ranger de de,46240001660,,"-R$  219,08 "," R$  1.991,37 ",9,Seguros
10-nov.,credito ted pagseguro internet ltda,34.501.625," R$  592,31 ",," R$  2.583,68 ",9,Seguros
14-nov.,pg pinternet parana clinicas planos de saude,10.005.086,,"-R$  895,72 "," R$  1.687,96 ",2,Despesas Diversas
16-nov.,db cotas,19.911,,"-R$  69,50 "," R$  1.618,46 ",2,Despesas Diversas
16-nov.,credito ted pagseguro internet ltda,34.731.352," R$  720,88 ",," R$  2.339,34 ",9,Seguros
16-nov.,pg pinternet energia lj,10.007.338,,"-R$  137,33 "," R$  2.202,01 ",1,Contas de Consumo
16-nov.,pg pinternet energia lj,10.007.416,,"-R$  56,38 "," R$  2.145,63 ",1,Contas de Consumo
16-nov.,pg pinternet energia lj,10.007.435,,"-R$  395,83 "," R$  1.749,80 ",1,Contas de Consumo
17-nov.,credito ted pagseguro internet ltda,34.622.115," R$  878,77 ",," R$  2.628,57 ",9,Seguros
21-nov.,credito ted pagseguro internet ltda,34.258.693," R$  785,67 ",," R$  3.414,24 ",9,Seguros
22-nov.,credito ted pagseguro internet ltda,34.060.178," R$  2.069,36 ",," R$  5.483,60 ",9,Seguros
24-nov.,pg pinternet ligga telecom,10.002.456,,"-R$  149,90 "," R$  5.333,70 ",2,Despesas Diversas
24-nov.,pg pinternet net fone,10.002.468,,"-R$  136,85 "," R$  5.196,85 ",1,Contas de Consumo
24-nov.,pg pinternet celular,10.002.488,,"-R$  64,54 "," R$  5.132,31 ",1,Contas de Consumo
24-nov.,pg pinternet med curitiba,10.002.517,,"-R$  105,45 "," R$  5.026,86 ",8,Saúde
24-nov.,credito ted pagseguro internet ltda,34.003.122," R$  1.081,92 ",," R$  6.108,78 ",9,Seguros
28-nov.,credito ted pagseguro internet ltda,33.986.810," R$  1.562,47 ",," R$  7.671,25 ",9,Seguros
29-nov.,pg pinternet vt cinthya e brenda,10.001.013,,"-R$  483,03 "," R$  7.188,22 ",11,Transporte
30-nov.,pg pinternet vr beneficios e serv de proc,10.002.775,,"-R$  1.700,00 "," R$  5.488,22 ",2,Despesas Diversas
1-dez.,pg pinternet springer carrier,10.005.252,,"-R$  198,60 "," R$  5.289,62 ",5,Equipamentos
1-dez.,pg pinternet seletroar parcela de,10.005.266,,"-R$  92,79 "," R$  5.196,83 ",4,Empréstimos
4-dez.,credito ted pagseguro internet ltda,34.491.933,"431,29",,"5.628,12",9,Seguros
4-dez.,pg pinternet grpr gnre guia estadual,10.006.164,,"-R$  285,13 "," R$  5.342,99 ",2,Despesas Diversas
4-dez.,pg pinternet conta de agua,10.006.201,,"-R$  267,20 "," R$  5.075,79 ",2,Despesas Diversas
4-dez.,pg pinternet white martins,10.006.232,,"-R$  150,34 "," R$  4.925,45 ",2,Despesas Diversas
6-dez.,pix transf pagador,335.786.268,,"-R$  2,80 "," R$  4.922,65 ",2,Despesas Diversas
6-dez.,debito pix nicolas falavinha christino,335.786.268,,"-R$  932,65 "," R$  3.990,00 ",2,Despesas Diversas
7-dez.,pg pinternet fgts,10.005.613,,"-R$  1.359,02 "," R$  2.630,98 ",6,Impostos e Taxas
8-dez.,cr apl rdcpos resgate de aplicaes,99," R$  10.000,00 ",," R$  12.630,98 ",2,Despesas Diversas
8-dez.,credito ted pagseguro internet ltda,34.215.373," R$  855,23 ",," R$  13.486,21 ",9,Seguros
8-dez.,pg pinternet aluguel,10.004.915,,"-R$  4.707,97 "," R$  8.778,24 ",0,Aluguel
8-dez.,debito pix elisabete seolin galindo pagto pro labore,337.846.340,,"-R$  1.335,00 "," R$  7.443,24 ",2,Despesas Diversas
8-dez.,pix transf pagador,337.846.340,,"-R$  4,00 "," R$  7.439,24 ",2,Despesas Diversas
8-dez.,pix transf pagador,337.848.723,,"-R$  4,00 "," R$  7.435,24 ",2,Despesas Diversas
8-dez.,debito pix claudio vinicius galindo pagto pro labore,337.848.723,,"-R$  1.335,00 "," R$  6.100,24 ",2,Despesas Diversas
8-dez.,pg pinternet pagto estagiarios,10.005.271,,"-R$  925,38 "," R$  5.174,86 ",2,Despesas Diversas
11-dez.,prest emprest,3,,"-R$  2.460,29 "," R$  2.714,57 ",4,Empréstimos
11-dez.,db allianz seguro ranger de de,84624000166,,"-R$  184,61 "," R$  2.529,96 ",9,Seguros
11-dez.,db allianz seguro ranger de de,46240001660,,"-R$  219,08 "," R$  2.310,88 ",9,Seguros
11-dez.,credito ted pagseguro internet ltda,34.384.375," R$  423,55 ",," R$  2.734,43 ",9,Seguros
11-dez.,pg pinternet springer carrier,10.009.882,,"-R$  371,29 "," R$  2.363,14 ",5,Equipamentos
11-dez.,pg pinternet white martins,10.009.953,,"-R$  39,76 "," R$  2.323,38 ",2,Despesas Diversas
12-dez.,pg pinternet fresnomaq industria de maquina wap,10.001.689,,"-R$  153,98 "," R$  2.169,40 ",2,Despesas Diversas
13-dez.,credito ted pagseguro internet ltda,34.187.505," R$  4.580,06 ",," R$  6.749,46 ",9,Seguros
14-dez.,pg pinternet cartao american,10.002.823,,"-R$  2.910,74 "," R$  3.838,72 ",2,Despesas Diversas
14-dez.,pg pinternet energia lj,10.002.838,,"-R$  176,16 "," R$  3.662,56 ",1,Contas de Consumo
14-dez.,pg pinternet energia lj,10.002.853,,"-R$  62,70 "," R$  3.599,86 ",1,Contas de Consumo
14-dez.,pg pinternet energia lj,10.002.862,,"-R$  423,90 "," R$  3.175,96 ",1,Contas de Consumo
14-dez.,pg pinternet springer carrier,10.002.878,,"-R$  11,46 "," R$  3.164,50 ",5,Equipamentos
14-dez.,pg pinternet parana clinicas planos de sa,10.002.894,,"-R$  895,72 "," R$  2.268,78 ",2,Despesas Diversas
14-dez.,pg pinternet parana clinicas planos de sa,10.002.910,,"-R$  148,52 "," R$  2.120,26 ",2,Despesas Diversas
15-dez.,db cotas,19.911,,"-R$  69,50 "," R$  2.050,76 ",2,Despesas Diversas
15-dez.,credito ted pagseguro internet ltda,34.340.855," R$  474,92 ",," R$  2.525,68 ",9,Seguros
18-dez.,credito ted pagseguro internet ltda,34.550.609," R$  624,51 ",," R$  3.150,19 ",9,Seguros
19-dez.,cr apl rdcpos,130," R$  12.839,93 ",," R$  15.990,12 ",2,Despesas Diversas
19-dez.,cr apl rdcpos,131," R$  1.791,32 ",," R$  17.781,44 ",2,Despesas Diversas
19-dez.,pix transf pagador,344.226.945,,"-R$  4,99 "," R$  17.776,45 ",2,Despesas Diversas
19-dez.,debito pix tatyana tamyres da silva chavier resciso,344.226.945,,"-R$  6.296,71 "," R$  11.479,74 ",2,Despesas Diversas
20-dez.,pg pinternet fgts rescisao tatyana,10.002.768,,"-R$  2.543,57 "," R$  8.936,17 ",2,Despesas Diversas
20-dez.,pg pinternet darf inss,10.002.901,,"-R$  1.294,66 "," R$  7.641,51 ",6,Impostos e Taxas
20-dez.,pg pinternet darf decimo terceiro salario,10.002.965,,"-R$  568,76 "," R$  7.072,75 ",6,Impostos e Taxas
20-dez.,pg pinternet darf ref aluguel,10.002.997,,"-R$  84,58 "," R$  6.988,17 ",0,Aluguel
20-dez.,pg pinternet das simples nacional,10.003.044,,"-R$  2.409,25 "," R$  4.578,92 ",2,Despesas Diversas
21-dez.,credito ted pagseguro internet ltda,34.231.336," R$  469,68 ",," R$  5.048,60 ",9,Seguros
22-dez.,credito ted pagseguro internet ltda,34.282.466," R$  573,42 ",," R$  5.622,02 ",9,Seguros
22-dez.,pg pinternet med curitiba,10.004.951,,"-R$  115,99 "," R$  5.506,03 ",8,Saúde
22-dez.,pg pinternet packpar embalagens eireli,10.004.956,,"-R$  377,00 "," R$  5.129,03 ",5,Equipamentos
26-dez.,pg pinternet celular,10.002.740,,"-R$  64,54 "," R$  5.064,49 ",1,Contas de Consumo
26-dez.,pg pinternet ligga telecom,10.002.741,,"-R$  149,90 "," R$  4.914,59 ",2,Despesas Diversas
26-dez.,pg pinternet net fone,,,"-R$  136,00 "," R$  4.778,59 ",1,Contas de Consumo
27-dez.,credito ted pagseguro internet ltda,," R$  736,47 ",," R$  5.515,06 ",9,Seguros
28-dez.,credito ted pagseguro internet ltda,," R$  1.374,44 ",," R$  6.889,50 ",9,Seguros
28-dez.,pg pinternet vale transporte benda e ronaldo,,,"-R$  381,03 "," R$  6.508,47 ",11,Transporte
28-dez.,pg pinternet vr beneficios e serv de proc,,,"-R$  1.850,00 "," R$  4.658,47 ",2,Despesas Diversas
5-jan.,credito ted pagseguro internet ltda,34.055.650," R$  639,50 ",," R$  5.297,97 ",9,Seguros
5-jan.,pg pinternet conta de agua,10.004.106,,"-R$  267,20 "," R$  5.030,77 ",2,Despesas Diversas
5-jan.,pg pinternet pagamento fgts,10.004.200,,"-R$  1.337,71 "," R$  3.693,06 ",6,Impostos e Taxas
5-jan.,pg pinternet springer carrier,10.006.454,,"-R$  454,33 "," R$  3.238,73 ",5,Equipamentos
8-jan.,credito ted pagseguro internet ltda,34.511.583," R$  410,38 ",," R$  3.649,11 ",9,Seguros
10-jan.,prest emprest,2,,"-R$  2.460,29 "," R$  1.188,82 ",4,Empréstimos
10-jan.,db allianz seguro ranger de de,84624000166,,"-R$  184,61 "," R$  1.004,21 ",9,Seguros
10-jan.,db allianz seguro ranger de de,46240001660,,"-R$  219,08 "," R$  785,13 ",9,Seguros
10-jan.,credito ted pagseguro internet ltda,34.393.369," R$  1.095,98 ",," R$  1.881,11 ",9,Seguros
11-jan.,credito ted pagseguro internet ltda,33.994.334," R$  693,66 ",," R$  2.574,77 ",9,Seguros
11-jan.,pg pinternet embalatec ind embalagens ltda,10.003.339,,"-R$  824,60 "," R$  1.750,17 ",5,Equipamentos
15-jan.,db cotas,19.911,,"-R$  69,50 "," R$  1.680,67 ",2,Despesas Diversas
15-jan.,credito ted pagseguro internet ltda,34.220.028," R$  1.052,57 ",," R$  2.733,24 ",9,Seguros
15-jan.,pg pinternet springer carrier,10.006.159,,"-R$  1.684,84 "," R$  1.048,40 ",5,Equipamentos
15-jan.,pg pinternet parana clinicas planos de sa,10.006.128,,"-R$  895,72 "," R$  152,68 ",2,Despesas Diversas
16-jan.,credito ted pagseguro internet ltda,33.958.870," R$  374,30 ",," R$  526,98 ",9,Seguros
19-jan.,credito ted pagseguro internet ltda,34.113.353," R$  3.261,02 ",," R$  3.788,00 ",9,Seguros
24-jan.,pg pinternet packpar embalagens eireli,10.001.312,,"-R$  377,00 "," R$  3.411,00 ",5,Equipamentos
24-jan.,pg pinternet celular,10.001.321,,"-R$  64,54 "," R$  3.346,46 ",1,Contas de Consumo
24-jan.,pg pinternet net fone,10.001.327,,"-R$  136,00 "," R$  3.210,46 ",1,Contas de Consumo
24-jan.,pg pinternet ligga telecom,10.001.341,,"-R$  149,90 "," R$  3.060,56 ",2,Despesas Diversas
24-jan.,credito ted pagseguro internet ltda,34.100.141," R$  1.720,24 ",," R$  4.780,80 ",9,Seguros
26-jan.,credito ted pagseguro internet ltda,34.086.042," R$  1.085,47 ",," R$  5.866,27 ",9,Seguros
29-jan.,credito ted pagseguro internet ltda,34.203.691," R$  216,70 ",," R$  6.082,97 ",9,Seguros
29-jan.,pg pinternet packpar embalagens eireli,10.003.388,,"-R$  196,56 "," R$  5.886,41 ",5,Equipamentos
29-jan.,pg pinternet vale transporte,10.003.456,,"-R$  573,03 "," R$  5.313,38 ",11,Transporte
29-jan.,pg pinternet med curitiba,10.003.472,,"-R$  137,07 "," R$  5.176,31 ",8,Saúde
31-jan.,pg pinternet vr beneficios e serv de proc,10.003.899,,"-R$  1.700,00 "," R$  3.476,31 ",2,Despesas Diversas
5-fev.,credito ted pagseguro internet ltda,34.750.103," R$  1.857,11 ",," R$  5.333,42 ",9,Seguros
5-fev.,pg pinternet conta de agua,10.007.042,,"-R$  204,88 "," R$  5.128,54 ",2,Despesas Diversas
8-fev.,credito ted pagseguro internet ltda,34.018.611," R$  1.557,23 ",," R$  6.685,77 ",9,Seguros
14-fev.,pg pinternet refrigeracao dufrio comercio e,10.005.460,,"-R$  720,44 "," R$  5.965,33 ",2,Despesas Diversas
14-fev.,pg pinternet springer carrier,10.005.474,,"-R$  1.684,79 "," R$  4.280,54 ",5,Equipamentos
14-fev.,prest emprest,2,,"-R$  2.460,29 "," R$  1.820,25 ",4,Empréstimos
14-fev.,db allianz seguro ranger de de,84624000166,,"-R$  184,61 "," R$  1.635,64 ",9,Seguros
14-fev.,db allianz seguro ranger de de,46240001660,,"-R$  219,08 "," R$  1.416,56 ",9,Seguros
14-fev.,credito ted pagseguro internet ltda,34.736.976," R$  638,71 ",," R$  2.055,27 ",9,Seguros
15-fev.,db cotas,19.911,,"-R$  69,50 "," R$  1.985,77 ",2,Despesas Diversas
15-fev.,pg pinternet parana clinicas consulta,10.005.979,,"-R$  59,66 "," R$  1.926,11 ",2,Despesas Diversas
15-fev.,pg pinternet parana clinicas planos de sa,10.006.008,,"-R$  895,72 "," R$  1.030,39 ",2,Despesas Diversas
16-fev.,pg pinternet energia lj,10.004.766,,"-R$  180,74 "," R$  849,65 ",1,Contas de Consumo
16-fev.,pg pinternet energia lj,10.004.769,,"-R$  61,34 "," R$  788,31 ",1,Contas de Consumo
16-fev.,pg pinternet energia lj,10.004.783,,"-R$  642,90 "," R$  145,41 ",1,Contas de Consumo
19-fev.,credito ted pagseguro internet ltda,34.370.474," R$  1.052,94 ",," R$  1.198,35 ",9,Seguros
19-fev.,pg pinternet daikin ar cond brasil ltda,10.003.338,,"-R$  880,18 "," R$  318,17 ",1,Contas de Consumo
21-fev.,credito ted pagseguro internet ltda,33.991.190," R$  1.199,98 ",," R$  1.518,15 ",9,Seguros
23-fev.,pg pinternet net fone,10.003.548,,"-R$  136,00 "," R$  1.382,15 ",1,Contas de Consumo
23-fev.,pg pinternet ligga telecom,10.003.596,,"-R$  149,90 "," R$  1.232,25 ",2,Despesas Diversas
23-fev.,pg pinternet celular,10.003.606,,"-R$  64,54 "," R$  1.167,71 ",1,Contas de Consumo
23-fev.,pg pinternet med curitiba,10.003.612,,"-R$  113,45 "," R$  1.054,26 ",8,Saúde
26-fev.,credito ted pagseguro internet ltda,34.256.958," R$  872,44 ",," R$  1.926,70 ",9,Seguros
26-fev.,credito ted pagseguro internet ltda,33.034.351," R$  990,15 ",," R$  2.916,85 ",9,Seguros
27-fev.,pg pinternet vale transporte,10.003.497,,"-R$  603,03 "," R$  2.313,82 ",11,Transporte
29-fev.,credito ted pagseguro internet ltda,34.614.378," R$  224,12 ",," R$  2.537,94 ",9,Seguros
29-fev.,pg pinternet vr beneficios e serv de proc,10.004.670,,"-R$  1.550,00 "," R$  987,94 ",2,Despesas Diversas
1-mar.,credito ted pagseguro internet ltda,34.647.989," R$  979,36 ",," R$  1.967,30 ",9,Seguros
4-mar.,pg pinternet conta de agua,10.003.958,,"-R$  175,70 "," R$  1.791,60 ",2,Despesas Diversas
11-mar.,prest emprest,2,,"-R$  2.460,29 ","-R$  668,69 ",4,Empréstimos
11-mar.,db allianz seguro ranger de de,84624000166,,"-R$  184,61 ","-R$  853,30 ",9,Seguros
11-mar.,db allianz seguro ranger de de,46240001660,,"-R$  219,08 ","-R$  1.072,38 ",9,Seguros
11-mar.,credito ted pagseguro internet ltda,33.012.039," R$  662,01 ",,"-R$  410,37 ",9,Seguros
11-mar.,credito pix eceeltec eletroelet recebido do banco inter,385.954.507," R$  420,00 ",," R$  9,63 ",7,Pagamentos e Créditos
13-mar.,credito ted pagseguro internet ltda,34.141.047," R$  826,43 ",," R$  836,06 ",9,Seguros
5-mar.,db cotas,19.911,,"-R$  69,50 "," R$  766,56 ",2,Despesas Diversas
15-mar.,credito ted pagseguro internet ltda,34.751.657," R$  2.889,25 ",," R$  3.655,81 ",9,Seguros
15-mar.,pg pinternet cartao american,10.006.916,,"-R$  2.745,61 "," R$  910,20 ",2,Despesas Diversas
15-mar.,pg pinternet white martins,10.006.989,,"-R$  48,42 "," R$  861,78 ",2,Despesas Diversas
15-mar.,pg pinternet energia lj,10.007.005,,"-R$  172,97 "," R$  688,81 ",1,Contas de Consumo
15-mar.,pg pinternet energia lj,10.007.017,,"-R$  55,27 "," R$  633,54 ",1,Contas de Consumo
15-mar.,pg pinternet energia lj,10.007.059,,"-R$  493,10 "," R$  140,44 ",1,Contas de Consumo
18-mar.,credito ted pagseguro internet ltda,34.457.213," R$  1.014,13 ",," R$  1.154,57 ",9,Seguros
18-mar.,pg pinternet fresnomaq industria de maquina,10.005.587,,"-R$  213,37 "," R$  941,20 ",2,Despesas Diversas
19-mar.,credito ted pagseguro internet ltda,33.935.131," R$  1.187,31 ",," R$  2.128,51 ",9,Seguros
20-mar.,credito ted pagseguro internet ltda,34.487.257," R$  625,08 ",," R$  2.753,59 ",9,Seguros
21-mar.,credito ted pagseguro internet ltda,34.091.135," R$  117,25 ",," R$  2.870,84 ",9,Seguros
22-mar.,credito ted pagseguro internet ltda,34.028.776," R$  250,51 ",," R$  3.121,35 ",9,Seguros
25-mar.,credito ted pagseguro internet ltda,34.456.285," R$  233,76 ",," R$  3.355,11 ",9,Seguros
25-mar.,pg pinternet net fone,10.006.069,,"-R$  154,53 "," R$  3.200,58 ",1,Contas de Consumo
25-mar.,pg pinternet ligga telecom,10.006.089,,"-R$  149,90 "," R$  3.050,68 ",2,Despesas Diversas
25-mar.,pg pinternet celular,10.006.108,,"-R$  69,18 "," R$  2.981,50 ",1,Contas de Consumo
25-mar.,pg pinternet med curitiba,10.006.123,,"-R$  126,53 "," R$  2.854,97 ",8,Saúde
25-mar.,pg pinternet fresnomaq industria de maquina,10.006.178,,"-R$  155,56 "," R$  2.699,41 ",2,Despesas Diversas
28-mar.,pg pinternet vr beneficios e serv de proc,10.003.844,,"-R$  1.950,00 "," R$  749,41 ",2,Despesas Diversas
28-mar.,pg pinternet conselho regional dos tecnicos eceel tec,10.003.938,,"-R$  337,40 "," R$  412,01 ",2,Despesas Diversas
28-mar.,pg pinternet conselho regional dos tecnicos claudio,10.003.967,,"-R$  337,40 "," R$  74,61 ",2,Despesas Diversas
28-mar.,credito ted pagseguro internet ltda,34.724.271," R$  1.357,23 ",," R$  1.431,84 ",9,Seguros
3-abr.,pg pinternet conta de agua,10.002.681,,"-R$  287,98 "," R$  1.143,86 ",2,Despesas Diversas
9-abr.,credito ted pagseguro internet ltda,34.059.864," R$  558,78 ",," R$  1.702,64 ",9,Seguros
10-abr.,prest emprest,2,,"-R$  2.460,29 ","-R$  757,65 ",4,Empréstimos
10-abr.,db allianz seguro ranger de de,84624000166,,"-R$  184,61 ","-R$  942,26 ",9,Seguros
10-abr.,db allianz seguro ranger de de,46240001660,,"-R$  219,08 ","-R$  1.161,34 ",9,Seguros
10-abr.,credito ted pagseguro internet ltda,34.438.433," R$  1.095,49 ",,"-R$  65,85 ",9,Seguros
10-abr.,credito pix eceeltec eletroelet,401.713.286," R$  100,00 ",," R$  34,15 ",7,Pagamentos e Créditos
12-abr.,credito ted pagseguro internet ltda,34.113.849," R$  1.238,74 ",," R$  1.272,89 ",9,Seguros
15-abr.,credito pix eceel tec eletroeletronica informa,403.652.523," R$  389,66 ",," R$  1.662,55 ",7,Pagamentos e Créditos
15-abr.,db cotas,19.911,,"-R$  69,50 "," R$  1.593,05 ",2,Despesas Diversas
15-abr.,pg pinternet parana clinicas planos de sa,10.004.323,,"-R$  1.069,79 "," R$  523,26 ",2,Despesas Diversas
15-abr.,credito ted pagseguro internet ltda,34.914.171," R$  492,66 ",," R$  1.015,92 ",9,Seguros
16-abr.,pg pinternet energia lj,10.001.610,,"-R$  190,32 "," R$  825,60 ",1,Contas de Consumo
16-abr.,pg pinternet energia lj,10.001.616,,"-R$  59,85 "," R$  765,75 ",1,Contas de Consumo
16-abr.,pg pinternet energia lj,10.001.628,,"-R$  488,82 "," R$  276,93 ",1,Contas de Consumo
16-abr.,credito ted pagseguro internet ltda,34.057.067," R$  386,40 ",," R$  663,33 ",9,Seguros
18-abr.,credito ted pagseguro internet ltda,33.999.768," R$  241,32 ",," R$  904,65 ",9,Seguros
19-abr.,credito pix pagseguro internet ltda,406.376.516," R$  1.520,18 ",," R$  2.424,83 ",9,Seguros
23-abr.,credito ted pagseguro internet ltda,34.021.425," R$  3.018,73 ",," R$  5.443,56 ",9,Seguros
25-abr.,pg pinternet net fone,10.003.245,,"-R$  140,11 "," R$  5.303,45 ",1,Contas de Consumo
25-abr.,pg pinternet ligga telecom,10.003.262,,"-R$  149,90 "," R$  5.153,55 ",2,Despesas Diversas
25-abr.,pg pinternet celular,10.003.278,,"-R$  70,12 "," R$  5.083,43 ",1,Contas de Consumo
25-abr.,pg pinternet med curitiba,10.003.290,,"-R$  105,45 "," R$  4.977,98 ",8,Saúde
29-abr.,pg pinternet vale transporte,10.001.866,,"-R$  567,03 "," R$  4.410,95 ",11,Transporte
30-abr.,pg pinternet vr beneficios e serv de proc,10.002.381,,"-R$  1.950,00 "," R$  2.460,95 ",2,Despesas Diversas
6-mai.,pg pinternet conta de agua,10.006.718,,"-R$  184,10 "," R$  2.276,85 ",2,Despesas Diversas
7-mai.,credito ted pagseguro internet ltda,34.966.778," R$  1.319,90 ",," R$  3.596,75 ",9,Seguros
8-mai.,pg pinternet ciee pr,10.003.674,,"-R$  550,19 "," R$  3.046,56 ",3,Educação
10-mai.,prest emprest compra da ranger,2,,"-R$  2.460,29 "," R$  586,27 ",4,Empréstimos
10-mai.,db allianz seguro ranger de de,84624000166,,"-R$  184,72 "," R$  401,55 ",9,Seguros
10-mai.,db allianz seguro ranger de de,46240001660,,"-R$  219,08 "," R$  182,47 ",9,Seguros
10-mai.,pg pinternet white martins,10.004.083,,"-R$  48,42 "," R$  134,05 ",2,Despesas Diversas
10-mai.,credito ted pagseguro internet ltda,34.331.348," R$  386,40 ",," R$  520,45 ",9,Seguros
13-mai.,pg pinternet refrigeracao dufrio comercio e,10.006.488,,"-R$  311,32 "," R$  209,13 ",2,Despesas Diversas
13-mai.,credito ted pagseguro internet ltda,34.454.997," R$  165,55 ",," R$  374,68 ",9,Seguros
15-mai.,db cotas,19.911,,"-R$  69,50 "," R$  305,18 ",2,Despesas Diversas
15-mai.,credito ted pagseguro internet ltda,34.852.816," R$  464,40 ",," R$  769,58 ",9,Seguros
16-mai.,credito ted pagseguro internet ltda,34.126.331," R$  631,89 ",," R$  1.401,47 ",9,Seguros
17-mai.,credito pix pagseguro internet ltda,421.413.937," R$  168,05 ",," R$  1.569,52 ",9,Seguros
21-mai.,credito pix pagseguro internet ltda,423.305.479," R$  1.372,11 ",," R$  2.941,63 ",9,Seguros
23-mai.,credito pix pagseguro internet ltda,424.120.150," R$  1.025,69 ",," R$  3.967,32 ",9,Seguros
